#{"t_start": 1669399241.1820152, "env_id": null}
r,l,t
64.159811,552,5.184153
6.65861,55,6.011045
7.107501,46,6.952665
53.958527,264,9.401657
35.791149,227,11.343161
5.3161,46,12.142612
32.079933,211,14.063507
13.695401,108,15.461875
9.546411,52,16.505393
24.174682,148,18.239536
30.772618,160,19.910283
6.272874,43,20.620031
11.515776,58,21.486251
6.136911,63,22.347666
9.087044,69,23.267526
11.420707,55,24.260836
12.856515,64,25.25086
61.268037,659,30.611296
10.201795,55,31.60135
33.213302,184,33.426764
9.49472,76,34.383814
5.907757,49,35.1026
62.392918,449,38.925745
31.838998,239,41.073703
62.238855,380,45.06843
16.327767,84,46.681893
8.474562,42,48.223222
39.089838,244,51.493977
30.521785,183,53.731406
30.725746,380,56.999166
13.34893,100,58.44324
6.495396,60,59.285187
9.595763,52,60.056882
15.753107,89,61.104364
5.528704,55,61.965566
48.158263,306,64.584288
117.523607,539,69.060016
51.201093,489,72.769063
12.126849,61,73.616376
8.388314,44,74.356501
5.409542,52,75.118004
10.375558,69,76.017025
11.010567,64,76.9615
11.272563,57,77.850524
10.820382,56,78.680228
8.089774,61,79.563518
14.489057,92,80.758451
30.952731,183,84.450481
50.643504,266,90.373487
25.416433,184,94.648975
13.194605,57,96.687001
40.240308,264,105.016119
35.733246,258,111.847817
74.911596,515,122.38658
49.526122,275,128.79943
13.261851,60,131.087788
9.009483,65,133.278691
30.172905,305,139.900608
15.135673,69,142.228072
32.212778,232,147.592016
6.424958,40,149.434451
44.590533,240,152.476362
31.043921,170,153.981782
11.416052,72,154.895247
41.729308,207,156.66975
16.130683,87,157.665908
17.973733,98,158.724368
50.226301,331,161.261303
20.619052,128,162.574974
32.623265,258,164.723732
10.383332,55,165.457594
14.197966,136,166.82805
77.497257,470,171.269362
9.65516,51,172.044889
36.733743,189,173.684947
12.679289,61,174.494474
36.16218,178,176.056762
15.657426,125,177.318805
19.476904,131,178.592554
101.120133,562,182.867278
8.780027,48,183.590844
10.336338,63,184.37114
9.760254,55,185.112656
9.154699,59,185.946202
7.331224,44,186.661221
29.480451,193,188.348392
10.63218,55,189.122942
7.867624,62,189.917114
42.572859,225,191.847919
33.578137,243,193.850306
9.817629,67,194.721723
10.882692,57,195.525103
10.395814,49,196.292107
7.785239,46,197.000507
22.493708,182,198.629844
35.335397,205,200.404516
20.72087,174,201.997127
56.091785,335,204.624889
15.285183,72,205.507001
11.432598,63,206.325311
20.492828,139,207.646175
43.074014,307,210.941767
51.499154,342,213.761281
25.864238,172,215.257287
20.940646,150,216.656282
21.665925,147,218.08164
15.112253,68,218.934474
30.629813,208,220.727515
12.380237,61,221.551753
12.214274,55,222.278919
17.890034,92,223.328873
17.005083,84,224.275865
13.710805,69,225.126771
8.507495,54,225.888757
32.444123,204,227.734697
17.296451,85,228.667224
12.057018,59,229.472358
36.754571,194,231.113908
12.56041,59,231.932361
32.938453,216,233.724892
16.293959,124,234.899589
19.635994,120,236.054113
7.966226,50,236.875165
48.490187,258,238.951697
14.829016,106,240.058268
58.418772,312,242.608346
18.896051,90,243.598227
44.1761,212,245.391915
10.464346,54,246.152906
51.45136,332,249.648674
39.985935,292,251.937533
22.974742,181,253.519499
26.076521,154,254.849764
47.830839,216,256.750864
10.571344,58,257.8709
16.073049,246,260.722873
33.186076,233,262.914411
42.177963,257,265.15262
34.928509,363,268.235673
84.194838,450,273.879259
24.653242,164,276.672936
37.501349,200,279.608234
23.444234,173,281.95763
8.095857,59,283.057376
15.863451,144,284.668979
13.641428,64,285.630451
35.410674,255,288.03763
11.248122,54,288.888929
13.057536,57,289.71258
11.320865,68,290.609208
44.943917,376,294.840974
23.464165,172,296.589085
12.62536,71,297.746532
32.993154,245,300.162588
29.509788,204,302.289553
11.329241,54,303.169814
16.460967,67,305.059512
18.578942,102,307.909923
18.918597,93,310.438217
7.844552,46,312.214417
12.169178,62,314.244092
11.364293,51,316.420515
8.396751,46,318.494629
64.233356,556,330.137035
103.901603,608,342.771282
8.398033,58,344.917506
22.671883,196,349.728605
46.662251,291,356.254462
17.081055,80,358.80184
11.495203,57,360.86978
12.641016,59,363.054622
28.021313,156,367.024053
42.797369,365,375.147124
114.318427,437,387.351879
18.484844,125,390.824966
39.103236,309,397.841737
6.225857,63,400.065755
8.362826,44,401.932048
18.039554,134,405.535097
35.169165,234,411.130148
11.057036,61,413.334582
9.883536,48,415.306911
9.614313,57,417.393869
15.837328,203,422.346264
13.754634,86,425.120893
49.46281,271,432.136883
12.906352,57,434.264703
68.893398,502,444.964724
12.160483,53,446.954309
38.750528,250,452.763974
9.733037,56,454.826445
9.552746,54,456.851452
8.86095,44,458.69296
49.452275,324,465.863848
87.57793,462,475.841157
8.750157,52,477.954771
6.664782,54,479.981397
13.155763,61,482.115165
54.140115,457,492.031615
42.930737,236,500.120669
10.464151,70,502.464988
15.828427,75,504.907946
16.021244,70,507.181367
60.666493,286,513.622823
40.245353,217,518.890457
39.962346,214,523.971509
10.716645,59,526.133762
8.219231,49,528.101268
52.383363,270,534.281342
9.009257,59,536.424576
42.872312,285,542.881059
34.843755,140,546.491955
9.247874,57,548.585422
17.781403,99,551.475895
34.264577,198,556.254937
19.949521,106,559.265841
23.462728,238,564.787179
9.007724,62,566.950273
23.343495,124,570.337607
12.095315,64,572.512288
12.536884,59,574.557463
24.993055,129,577.862873
7.78201,71,580.158906
48.059926,310,586.997953
17.477421,113,590.097106
6.722061,49,591.993591
11.385855,64,594.177132
10.920364,60,596.285528
72.375955,509,609.05863
49.183119,376,617.201659
12.098559,57,619.307836
39.479428,198,623.72014
9.698494,53,625.721835
9.314161,51,627.672687
28.014557,255,633.377212
12.190695,91,636.038548
25.344721,159,640.045606
23.110691,170,644.174952
48.539118,279,650.43172
19.63952,110,653.430961
11.364225,51,655.341398
10.071374,51,657.266053
18.028621,100,660.104862
12.239458,65,662.326809
54.68328,371,670.193464
56.016652,258,676.099947
40.811948,204,680.916718
12.53004,60,683.066747
32.227293,210,687.92648
66.277667,369,695.658328
38.189401,212,700.577417
38.418162,341,710.467427
15.121171,67,712.766448
41.087871,221,717.852363
30.027292,197,722.572584
13.361518,66,724.785032
9.745941,55,726.807081
11.288303,55,728.827007
11.583578,63,731.003568
41.058571,233,736.379915
9.746732,68,738.586629
20.32182,90,741.199765
77.605954,401,749.66997
28.800437,219,754.712413
9.222345,52,756.638418
37.836876,251,761.548393
10.768674,58,763.636973
31.135591,183,768.012341
11.702625,55,770.015839
10.272514,64,772.19586
23.873469,138,775.670747
16.992615,132,779.034615
38.606957,241,784.395023
52.369874,264,790.291974
25.138753,171,794.424542
45.019667,325,801.590161
24.195011,187,806.010448
41.056875,212,813.489577
22.185465,138,816.96367
23.042622,181,821.3514
8.711196,66,823.547914
49.846455,264,829.631662
24.912677,159,833.527662
13.025405,91,836.308657
25.895753,156,840.106923
21.432588,133,843.667374
27.611889,253,849.351408
42.114651,199,854.078102
56.687758,314,860.994764
20.942389,190,865.513905
12.66648,99,868.350905
14.79075,78,870.776347
37.985312,180,875.079505
41.710856,259,880.831563
10.389945,58,882.911843
37.593907,340,890.257375
10.522704,58,892.281417
23.502443,216,897.342631
19.098141,83,899.866454
20.742646,143,903.564035
18.967729,175,908.021307
70.064928,510,920.973436
49.792711,222,926.13827
22.196101,187,930.547817
65.411195,433,939.455765
50.653542,320,946.211029
66.55971,331,953.563898
29.089583,357,961.197227
22.697558,146,964.881539
10.102571,55,966.964037
62.727465,458,976.32642
9.445492,54,978.312396
33.736339,568,990.051573
74.110337,398,998.711462
26.730312,149,1005.113183
13.246726,65,1007.354453
68.416525,467,1017.251271
17.157165,115,1020.511327
28.34703,297,1027.241266
28.045652,155,1031.241229
10.1994,57,1033.325686
27.238684,212,1038.36324
41.304209,236,1043.783486
16.453308,98,1046.670929
59.888428,401,1055.393238
43.077332,250,1061.224078
82.844116,530,1072.322475
54.316156,331,1079.510863
25.469089,143,1083.22476
62.155819,402,1091.790802
49.078425,344,1101.950864
95.874943,626,1114.901397
45.789834,347,1122.519379
79.149185,419,1131.479793
12.401168,65,1133.650682
36.786417,250,1139.43625
39.791718,197,1144.182645
39.363444,184,1148.605809
24.59933,168,1152.830247
26.300196,145,1156.590557
11.062742,55,1158.610569
26.045445,167,1162.750727
14.474184,73,1165.330575
37.853489,251,1171.675712
38.769466,227,1176.995577
46.929345,314,1184.038096
64.745546,419,1193.025251
37.012448,195,1200.4103
24.239577,220,1205.630443
50.459406,279,1212.000518
73.775713,600,1224.571878
9.688717,58,1226.683163
40.55956,322,1233.886096
33.64935,178,1238.232168
11.359913,55,1240.256215
44.292861,304,1247.020432
34.91008,177,1251.459002
58.694458,321,1258.620959
20.217274,129,1262.125239
60.875861,343,1269.686003
19.396166,80,1272.190247
20.093446,120,1275.561878
71.681197,339,1283.091717
72.722418,385,1291.455718
51.759624,353,1301.801241
43.352462,339,1309.421895
53.301416,364,1317.477947
34.210922,153,1321.410893
46.264063,275,1327.719879
33.000634,163,1331.849874
137.756509,622,1344.834187
26.655133,150,1348.689665
42.34626,423,1357.761796
24.721632,143,1361.549705
21.933231,217,1366.750104
59.244899,334,1374.180471
16.931629,79,1376.689531
16.446668,71,1379.074624
49.942272,276,1385.34992
33.85966,219,1390.509488
16.835125,108,1396.229147
82.654455,456,1405.964963
22.077918,169,1410.182301
48.139783,270,1416.353334
47.595262,224,1421.629171
69.710807,323,1428.899701
44.733521,269,1434.988297
22.659465,154,1438.879251
18.045162,175,1443.219306
63.07428,289,1449.728515
36.594181,170,1454.01981
35.428262,228,1459.423806
12.362292,59,1461.503798
11.40783,69,1463.893712
44.045403,324,1471.169072
24.800298,216,1476.336709
83.284048,694,1493.233668
62.091289,304,1500.108803
46.406052,246,1505.710976
20.055886,119,1508.995932
129.136732,941,1528.06859
14.640492,78,1530.565937
45.749896,219,1535.801568
42.465721,287,1542.318702
26.478496,162,1546.38478
39.949467,325,1553.611475
40.794919,359,1561.513481
23.528985,151,1565.413317
14.879844,126,1568.828492
41.081054,246,1574.56156
23.235592,120,1577.873609
11.860729,54,1579.929616
9.97617,116,1583.083242
21.160906,107,1586.151789
19.76969,139,1592.423443
51.944584,289,1599.039864
46.558226,351,1606.598099
42.699472,258,1612.525871
37.242529,241,1618.143322
36.874227,292,1624.819944
34.818806,173,1629.108491
73.228859,366,1637.089083
35.584641,219,1642.242339
153.645464,925,1661.000176
73.353332,484,1671.29283
34.019796,207,1676.212612
56.381458,353,1686.598008
27.458892,136,1690.223462
34.400796,176,1694.53369
21.954515,158,1698.537771
17.920316,109,1701.600808
27.718056,175,1705.960676
68.975182,369,1714.037883
16.402224,87,1716.647739
19.903287,153,1720.514754
59.563875,253,1726.450065
21.473291,126,1729.839504
34.907641,366,1737.846301
35.284256,220,1743.150209
27.276353,178,1747.517281
143.938219,727,1762.460515
27.827685,140,1766.077426
11.88107,56,1768.172576
41.785417,280,1774.547323
29.286867,128,1778.032176
22.129243,147,1781.812504
46.383533,240,1790.020478
41.941416,194,1794.713484
75.926132,503,1805.35656
35.786547,333,1812.647141
104.398341,573,1824.78089
48.825998,237,1830.281572
61.114251,345,1837.862175
99.123142,461,1847.706849
52.691546,267,1853.887338
33.877513,220,1859.057904
30.425674,241,1864.736722
74.680677,423,1873.86074
65.427656,293,1883.96236
38.417589,283,1890.438695
54.610576,482,1900.736679
8.091541,59,1902.844751
48.903412,309,1909.716486
42.940864,315,1916.804279
7.38677,67,1919.096993
49.1804,228,1924.414485
11.534674,54,1926.45866
58.233279,304,1933.316853
52.996641,285,1939.822515
17.885683,128,1943.248532
16.342907,141,1946.91675
13.310699,71,1949.273344
33.611677,224,1954.591374
77.868024,540,1966.016321
33.963918,159,1970.079523
64.957916,316,1979.77072
34.291814,192,1984.416217
52.3866,415,1993.366391
34.662659,210,1998.346263
86.863146,474,2008.466334
34.360685,267,2014.535727
29.725842,238,2020.066351
41.519249,241,2025.701148
124.541721,856,2043.131217
33.74899,186,2047.64829
39.986726,229,2053.079259
26.974051,168,2057.305928
70.953484,448,2066.939061
8.223921,51,2068.941941
64.671203,415,2080.5174
132.306315,751,2096.035636
9.670347,93,2098.81557
101.876812,902,2117.009913
50.281329,295,2123.717667
46.663586,343,2131.307472
53.529578,570,2143.17032
42.365894,287,2149.650397
68.607706,441,2159.185843
38.522292,214,2166.866802
23.098904,177,2171.189039
80.075053,511,2181.961279
68.123816,358,2189.825424
67.434593,348,2197.566296
20.96801,168,2201.775645
35.612865,274,2208.018232
135.453672,636,2221.364979
16.722504,83,2223.865692
8.981359,57,2225.945323
32.519767,170,2230.235107
80.029859,444,2239.851207
30.148694,305,2246.686604
62.552672,463,2259.184277
79.54488,541,2270.634962
68.409726,455,2280.383991
26.578987,187,2284.984723
18.346522,129,2288.423965
72.676245,436,2297.789497
67.498021,497,2308.379621
39.246818,233,2313.776159
25.399837,127,2317.165812
39.288522,263,2323.256315
11.608814,88,2325.950326
50.643472,268,2332.10435
30.055363,161,2336.19583
47.341632,344,2343.744409
27.242868,174,2347.982916
77.656647,578,2362.634346
86.747598,513,2373.529292
86.060779,437,2382.897505
32.253166,236,2388.328452
74.4092,405,2397.003633
38.657457,206,2401.956092
45.515415,297,2408.775078
35.352689,181,2413.215455
20.605197,187,2417.76769
11.211482,78,2420.264002
27.957942,280,2426.654036
36.552336,254,2432.538902
35.617864,169,2436.766992
22.44964,143,2440.553807
72.992362,448,2452.804285
130.298929,663,2466.533851
26.480564,325,2473.81413
47.765217,251,2479.567671
64.076412,414,2488.467936
53.017507,387,2496.837986
95.729036,460,2506.653627
33.905974,274,2512.782083
22.758166,168,2516.800009
19.520597,101,2519.638129
35.240586,240,2525.034312
57.993935,491,2535.02098
190.842476,1001,2556.825456
29.221337,176,2561.087267
129.861265,831,2578.317852
25.536243,151,2582.011181
48.64032,363,2589.580079
32.790138,202,2594.433713
62.10716,313,2598.075768
49.22494,260,2600.394966
58.883745,330,2603.155214
45.866119,214,2605.119572
15.854355,112,2606.58787
112.359598,509,2619.343456
211.081154,997,2633.857998
43.246126,199,2635.710682
172.938029,803,2642.100669
143.153743,768,2652.842596
134.863268,609,2665.100563
36.167527,199,2669.71823
21.55099,142,2674.059105
58.040628,376,2686.217683
26.930201,149,2691.144067
63.918931,393,2703.989996
82.230622,397,2718.193083
32.300651,136,2722.961562
43.190388,325,2734.214459
68.251087,391,2753.89451
119.997427,883,2779.0279
37.414297,190,2784.993836
40.433533,320,2794.646446
46.71251,238,2801.283771
48.792397,222,2803.829662
58.717271,314,2808.43932
65.153232,403,2812.12455
105.846019,551,2816.567029
55.110642,288,2819.043315
103.956329,526,2823.915755
57.743788,348,2827.863561
66.746886,430,2832.542501
43.686849,262,2835.467638
69.217003,311,2838.886171
48.931485,276,2842.003309
50.994935,445,2846.651983
78.876815,734,2855.466461
20.594566,169,2857.532948
55.815567,363,2861.646756
54.408369,371,2865.722736
48.284468,202,2868.013507
63.635627,485,2873.113322
43.666717,264,2876.067504
34.175881,214,2878.62712
40.881343,253,2881.513961
69.778436,368,2885.59288
44.772959,203,2888.111444
26.742742,155,2890.197753
119.720918,575,2897.536191
30.462175,148,2899.470408
68.433981,459,2904.194099
80.404916,424,2908.727576
16.823782,123,2910.607157
69.484954,373,2914.63723
114.259527,696,2921.742132
35.463332,191,2924.025771
19.102807,103,2925.507576
87.159077,513,2930.857192
128.900288,589,2937.09802
63.003874,358,2941.26422
58.117846,415,2947.103084
92.199709,416,2951.60349
158.005349,964,2961.516801
191.623348,1001,2971.457157
222.060296,1001,2981.213504
72.095709,403,2987.345852
156.444919,850,2995.937802
75.128934,375,2999.997069
16.147555,98,3001.411355
30.233447,154,3003.366926
92.218122,376,3007.675019
93.68124,423,3012.338566
20.912173,183,3014.504302
204.343114,1001,3025.165381
97.853705,534,3030.898477
42.01967,238,3035.139963
204.032259,1001,3045.227903
111.886575,494,3050.516218
29.940993,155,3052.700329
144.172885,1001,3062.57616
72.1233,462,3067.56944
21.288703,110,3069.160331
108.873827,704,3077.67097
209.188616,906,3087.055129
48.65256,227,3089.612659
84.453369,440,3094.336318
69.431905,381,3098.583596
21.883357,139,3100.378764
35.669254,184,3102.950864
93.875044,587,3108.900921
122.038661,537,3114.5383
82.051584,546,3120.394245
23.332581,124,3123.529812
45.957685,202,3125.96839
135.678457,540,3131.705826
178.65019,1001,3141.832282
24.46714,119,3143.553941
196.604271,836,3152.148046
54.012651,300,3155.536993
66.371562,294,3158.966117
85.617907,439,3163.805927
100.737503,503,3170.494172
181.087876,982,3180.08567
80.814245,463,3185.025136
28.124967,159,3186.970321
16.651782,94,3188.334346
91.997239,514,3193.494723
126.018396,570,3199.650508
42.079294,249,3202.530069
20.047275,111,3204.157177
290.371913,1001,3215.208124
58.138699,332,3218.937506
223.77325,949,3228.298919
72.756692,333,3231.95108
29.334617,187,3234.343778
173.161689,770,3242.045038
86.614788,510,3247.258415
44.778006,260,3250.217312
68.791545,309,3253.667099
95.293966,674,3261.640625
139.24724,686,3268.445678
154.213448,817,3276.786396
68.710157,394,3281.016702
73.196052,442,3285.969185
134.626201,781,3294.22476
51.242689,288,3297.410412
57.192402,286,3301.86499
88.597117,492,3307.065355
32.184293,147,3309.070693
122.820971,648,3315.634596
156.293357,795,3323.672728
64.503135,346,3327.495702
102.097451,406,3331.80175
64.970833,259,3334.763847
56.564256,335,3338.381035
74.710719,430,3342.881665
273.368331,1001,3354.066959
74.15207,379,3358.074836
115.623498,595,3364.645789
163.748385,802,3372.910828
50.21049,249,3375.714361
124.039156,769,3383.500999
109.709247,633,3391.173963
160.458089,736,3398.769171
81.148165,476,3403.759225
68.032005,287,3407.084823
87.475865,430,3411.658118
59.800109,337,3415.418519
259.899347,1001,3425.27963
107.391031,613,3431.731973
193.83718,1001,3443.138398
164.402447,847,3451.8931
261.286179,1001,3461.856421
201.725755,1001,3471.903113
42.282796,297,3475.095447
66.846531,263,3479.565455
247.362025,1001,3489.462623
66.353032,397,3493.68753
51.294137,246,3496.528421
92.871157,606,3502.99331
72.591213,382,3507.111479
87.119268,626,3513.868056
23.221849,151,3515.775747
196.335781,1001,3527.3993
167.301942,961,3537.154453
117.369811,415,3541.482636
186.571328,1001,3551.597536
182.019885,808,3560.17889
16.850861,93,3561.52931
242.260117,968,3572.833495
86.238269,618,3579.563193
43.72067,194,3581.911151
243.670652,1001,3592.142975
89.31031,496,3597.43547
45.813676,318,3601.066828
216.165957,1001,3612.682428
213.304918,1001,3622.859671
126.796395,694,3629.990411
22.545552,112,3631.521889
162.044183,1001,3641.451741
196.730223,877,3650.144535
35.296697,265,3654.306837
57.316524,386,3658.451756
49.227183,199,3660.939602
231.291533,1001,3670.844765
17.140989,108,3672.480272
282.0155,1001,3683.029904
94.923494,509,3688.213915
165.26037,651,3694.798393
80.154701,309,3699.59484
129.064665,557,3705.240698
275.703312,1001,3714.995677
257.177102,1001,3725.176538
76.906614,349,3729.304508
180.314952,960,3738.570191
129.264783,914,3748.897559
67.352001,361,3752.974733
106.784865,468,3757.741971
125.21758,537,3763.267686
95.290467,385,3767.294306
227.400471,1001,3777.328295
41.197193,229,3780.007492
237.099118,1001,3791.579652
170.803592,683,3798.603517
20.616165,113,3800.134599
229.999288,873,3809.325204
174.629975,716,3816.862901
254.133555,1001,3828.523758
16.455314,106,3830.112585
76.120033,336,3833.963902
97.467621,439,3838.693661
42.861963,241,3841.585511
274.001128,1001,3851.572025
256.685707,1001,3861.749357
195.207899,845,3870.07587
166.226612,1001,3881.11919
134.321751,710,3888.32293
71.386902,363,3892.228144
